,author_id,z_score,features,feature_stats,feature_names,author
99,99,"[np.float64(3.488172126694055), np.float64(2.1805879970686073), np.float64(1.9520128980423836), np.float64(1.9120020635062271), np.float64(1.8969867252196544)]","[np.int64(407), np.int64(1152), np.int64(7), np.int64(1078), np.int64(341)]","[np.float64(0.0018702703253705886), np.float64(0.0012044864426967246), np.float64(0.08779073489285354), np.float64(0.004052252371636275), np.float64(0.01351375913074907)]","[np.str_('(ADJ, <-, ADV, parataxis)'), np.str_('(PRON, <-, NOUN, nummod:gov)'), np.str_('(VERB, ->, ADP, parataxis)'), np.str_('(INTJ, ->, ADV, parataxis)'), np.str_('(ADV, ->, ADJ, case)')]",Simonov
100,100,"[np.float64(19.457451044855823), np.float64(18.38778364723797), np.float64(8.258118283045057), np.float64(7.906631079236435), np.float64(6.913303787324831)]","[np.int64(491), np.int64(649), np.int64(958), np.int64(216), np.int64(592)]","[np.float64(0.043078706783238926), np.float64(0.008615741356647786), np.float64(0.004307870678323893), np.float64(0.004307870678323893), np.float64(0.030155094748267254)]","[np.str_('(NOUN, <-, NOUN, orphan)'), np.str_('(ADP, ->, ADP, fixed)'), np.str_('(PAD, <-, VERB, obl)'), np.str_('(DET, ->, ADV, conj)'), np.str_('(PUNCT, ->, PUNCT, root)')]",Soloviev
101,101,"[np.float64(24.47451072119473), np.float64(24.47451072119473), np.float64(24.47451072119473), np.float64(21.689263692814077), np.float64(20.878303278418336)]","[np.int64(227), np.int64(1415), np.int64(686), np.int64(915), np.int64(1855)]","[np.float64(0.0028942667882387797), np.float64(0.0028942667882387797), np.float64(0.0028942667882387797), np.float64(0.040519735035342924), np.float64(0.0028942667882387797)]","[np.str_('(ADV, <-, DET, parataxis)'), np.str_('(VERB, ->, NOUN, flat:foreign)'), np.str_('(INTJ, <-, VERB, orphan)'), np.str_('(PRON, <-, ADJ, iobj)'), np.str_('(PRON, ->, INTJ, parataxis)')]",Solovyov
102,102,"[np.float64(6.118627680298684), np.float64(5.833897307115326), np.float64(5.142523625883695), np.float64(5.06361519352363), np.float64(4.611957869393268)]","[np.int64(1259), np.int64(1412), np.int64(310), np.int64(1363), np.int64(423)]","[np.float64(0.0009818505427296096), np.float64(0.020323994677213745), np.float64(0.0033952845329748974), np.float64(0.025804987550131202), np.float64(0.0009818505427296096)]","[np.str_('(VERB, ->, VERB, nmod)'), np.str_('(NUM, ->, ADV, obl)'), np.str_('(NOUN, <-, ADJ, punct)'), np.str_('(PRON, ->, VERB, conj)'), np.str_('(ADJ, <-, VERB, amod)')]",Stepnova
103,103,"[np.float64(2.5100981644915685), np.float64(2.346186637601267), np.float64(2.2804874362319874), np.float64(2.2730598659959917), np.float64(2.091615937426324)]","[np.int64(462), np.int64(1166), np.int64(1182), np.int64(1760), np.int64(1728)]","[np.float64(0.03156630232567652), np.float64(0.0014534490893109077), np.float64(0.004198422264808375), np.float64(0.0006426556075421388), np.float64(0.0014534490893109077)]","[np.str_('(DET, ->, PROPN, obl)'), np.str_('(PRON, <-, INTJ, parataxis)'), np.str_('(AUX, <-, ADJ, conj)'), np.str_('(ADJ, ->, ADJ, root)'), np.str_('(PUNCT, ->, PART, advmod)')]",Strugatskie
104,104,"[np.float64(3.4963586744563906), np.float64(3.49635867445639), np.float64(3.329123262601795), np.float64(2.7519730140724197), np.float64(2.7026735842953666)]","[np.int64(601), np.int64(400), np.int64(493), np.int64(1945), np.int64(1127)]","[np.float64(0.0005102732804935819), np.float64(0.0006300280911631139), np.float64(0.0006542468648464217), np.float64(0.10498255834657255), np.float64(0.0006542468648464217)]","[np.str_('(PRON, ->, VERB, nsubj)'), np.str_('(ADJ, <-, ADV, advcl)'), np.str_('(INTJ, ->, NOUN, obj)'), np.str_('(NUM, <-, ADJ, nummod)'), np.str_('(NUM, ->, SCONJ, cc)')]",Tamonikov
105,105,"[np.float64(24.474510721194736), np.float64(23.857404736470485), np.float64(19.794209473480016), np.float64(17.161487742515018), np.float64(7.448078457040143)]","[np.int64(325), np.int64(1086), np.int64(1719), np.int64(1158), np.int64(1889)]","[np.float64(0.0035490512803783166), np.float64(0.0017745256401891583), np.float64(0.0017745256401891583), np.float64(0.0017745256401891583), np.float64(0.0017745256401891583)]","[np.str_('(NOUN, ->, PROPN, root)'), np.str_('(VERB, ->, ADJ, nsubj)'), np.str_('(DET, ->, ADJ, obl)'), np.str_('(NUM, ->, PART, parataxis)'), np.str_('(PRON, <-, VERB, obj)')]",TEDRus
106,106,"[np.float64(4.894902144238947), np.float64(4.894902144238947), np.float64(3.7066357673823096), np.float64(2.811262986188651), np.float64(2.5037333862176068)]","[np.int64(108), np.int64(1393), np.int64(1184), np.int64(458), np.int64(442)]","[np.float64(0.0007070922263602171), np.float64(0.0007070922263602171), np.float64(0.0007070922263602171), np.float64(0.0007070922263602171), np.float64(0.0006238670243183551)]","[np.str_('(INTJ, ->, PRON, conj)'), np.str_('(NOUN, ->, CCONJ, det)'), np.str_('(INTJ, <-, PUNCT, root)'), np.str_('(ADV, ->, VERB, parataxis)'), np.str_('(PROPN, <-, X, nsubj)')]",Teffi
107,107,"[np.float64(3.3234221210605845), np.float64(3.062428216039525), np.float64(2.8720759922312267), np.float64(2.8383683781484006), np.float64(2.667282812264018)]","[np.int64(0), np.int64(1778), np.int64(162), np.int64(1398), np.int64(202)]","[np.float64(0.0769749586692073), np.float64(0.004859473214793473), np.float64(0.02472916592768576), np.float64(0.014821258312386842), np.float64(0.05622630708137311)]","[np.str_('(DET, ->, VERB, cop)'), np.str_('(ADJ, <-, CCONJ, root)'), np.str_('(INTJ, ->, NOUN, iobj)'), np.str_('(PROPN, <-, X, flat)'), np.str_('(PUNCT, ->, NUM, parataxis)')]",Tolstoy
108,108,"[np.float64(4.894902144238949), np.float64(4.894902144238947), np.float64(4.894902144238947), np.float64(4.894902144238947), np.float64(4.894902144238946)]","[np.int64(478), np.int64(1981), np.int64(190), np.int64(1008), np.int64(199)]","[np.float64(0.0010671302330199429), np.float64(0.0012000541940451115), np.float64(0.0012000541940451115), np.float64(0.0012000541940451115), np.float64(0.001082285842490479)]","[np.str_('(CCONJ, ->, SCONJ, mark)'), np.str_('(INTJ, ->, PRON, iobj)'), np.str_('(PROPN, <-, NUM, flat:foreign)'), np.str_('(DET, <-, PROPN, obl)'), np.str_('(PRON, ->, ADV, mark)')]",Turgenev
