,author_id,info_gain,features,feature_stats,feature_names,author
102,102,"[np.float64(0.05184412304523223), np.float64(0.03778303931225402), np.float64(0.03571316676545422), np.float64(0.03541077364709233), np.float64(0.03439962727650492)]","[np.int64(1842), np.int64(999), np.int64(205), np.int64(1666), np.int64(1017)]","[np.float64(0.05232732772505589), np.float64(0.01244035018556373), np.float64(0.007486145505995814), np.float64(0.0012055955143703933), np.float64(0.005115587433071577)]","[np.str_('(ADV, <-, ADJ, parataxis)'), np.str_('(PART, <-, PART, fixed)'), np.str_('(VERB, <-, VERB, mark)'), np.str_('(VERB, ->, PRON, det)'), np.str_('(NUM, <-, NOUN, advcl)')]",Stepnova
103,103,"[np.float64(0.08107656791958417), np.float64(0.07898337431600488), np.float64(0.06914920073667208), np.float64(0.06344445702665591), np.float64(0.0626504636830103)]","[np.int64(775), np.int64(425), np.int64(437), np.int64(544), np.int64(731)]","[np.float64(0.006765247071425342), np.float64(0.00745009563435004), np.float64(0.007922710685024686), np.float64(0.0017104029776645743), np.float64(0.0027776884409360858)]","[np.str_('(VERB, <-, PART, csubj)'), np.str_('(VERB, <-, PROPN, appos)'), np.str_('(NOUN, <-, VERB, compound)'), np.str_('(PUNCT, ->, VERB, advcl)'), np.str_('(VERB, ->, PART, nsubj)')]",Strugatskie
104,104,"[np.float64(0.08268293252646142), np.float64(0.06888942860811087), np.float64(0.05993149188663516), np.float64(0.04966262064819382), np.float64(0.04893669196124251)]","[np.int64(1300), np.int64(967), np.int64(731), np.int64(1112), np.int64(808)]","[np.float64(0.0276146439241725), np.float64(0.023883587017125965), np.float64(0.00818411772691624), np.float64(0.011867396043340382), np.float64(0.006203920761189656)]","[np.str_('(ADV, <-, X, advmod)'), np.str_('(PRON, ->, ADP, fixed)'), np.str_('(VERB, ->, PART, nsubj)'), np.str_('(NUM, ->, ADJ, advcl)'), np.str_('(ADJ, ->, ADJ, compound)')]",Tamonikov
105,105,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.022300966674966727)]","[np.int64(741), np.int64(678), np.int64(88), np.int64(1525), np.int64(199)]","[np.float64(0.005323576920567475), np.float64(0.0035490512803783166), np.float64(0.0017745256401891583), np.float64(0.0017745256401891583), np.float64(0.007098102560756633)]","[np.str_('(PROPN, <-, NOUN, punct)'), np.str_('(PROPN, <-, ADP, flat:foreign)'), np.str_('(ADJ, <-, ADJ, nsubj)'), np.str_('(DET, ->, VERB, advmod)'), np.str_('(PRON, ->, ADV, mark)')]",TEDRus
106,106,"[np.float64(0.056407140225369634), np.float64(0.049937124015352996), np.float64(0.049904127371678375), np.float64(0.04908006523660313), np.float64(0.046926529967299846)]","[np.int64(1548), np.int64(466), np.int64(998), np.int64(1311), np.int64(264)]","[np.float64(0.004854638601560286), np.float64(0.0036200998944741483), np.float64(0.028435926562710354), np.float64(0.008249712277400066), np.float64(0.005024037101685876)]","[np.str_('(NOUN, <-, ADJ, amod)'), np.str_('(SCONJ, ->, NOUN, orphan)'), np.str_('(NOUN, ->, VERB, cop)'), np.str_('(X, ->, PART, fixed)'), np.str_('(PRON, ->, CCONJ, cc)')]",Teffi
107,107,"[np.float64(0.1296626940790767), np.float64(0.11905518176979268), np.float64(0.11710115857073511), np.float64(0.11604177599334276), np.float64(0.11194881959871616)]","[np.int64(265), np.int64(1696), np.int64(544), np.int64(216), np.int64(200)]","[np.float64(0.0769749586692073), np.float64(0.028794605088084537), np.float64(0.019722147310736123), np.float64(0.023052091967830615), np.float64(0.025302265073605338)]","[np.str_('(SCONJ, ->, PRON, discourse)'), np.str_('(CCONJ, <-, PROPN, conj)'), np.str_('(PUNCT, ->, VERB, advcl)'), np.str_('(DET, ->, ADV, conj)'), np.str_('(ADV, <-, ADJ, conj)')]",Tolstoy
108,108,"[np.float64(0.06098258001444712), np.float64(0.05978311748194387), np.float64(0.05103402845534388), np.float64(0.04970257120198107), np.float64(0.04963351651178882)]","[np.int64(136), np.int64(1404), np.int64(292), np.int64(381), np.int64(491)]","[np.float64(0.011007208677892724), np.float64(0.0029626623240152057), np.float64(0.007003301245990349), np.float64(0.010488471836054267), np.float64(0.008659283434723773)]","[np.str_('(SCONJ, <-, PRON, nsubj)'), np.str_('(NOUN, <-, INTJ, nmod)'), np.str_('(ADJ, ->, ADP, advmod)'), np.str_('(VERB, <-, DET, conj)'), np.str_('(NOUN, <-, NOUN, orphan)')]",Turgenev
109,109,"[np.float64(0.09641621601532835), np.float64(0.0724511315497971), np.float64(0.07222420919702732), np.float64(0.06931461027291441), np.float64(0.06569048308072378)]","[np.int64(1629), np.int64(1367), np.int64(7), np.int64(1807), np.int64(238)]","[np.float64(0.00014891937330378907), np.float64(0.008499624492954671), np.float64(0.05196861416108884), np.float64(0.0007336137054390765), np.float64(0.0056564152908741335)]","[np.str_('(VERB, ->, PART, conj)'), np.str_('(PART, <-, DET, advmod)'), np.str_('(VERB, ->, ADP, parataxis)'), np.str_('(ADJ, <-, NOUN, advmod)'), np.str_('(NOUN, <-, ADV, obj)')]",Uspensky
110,110,"[np.float64(0.07918062474383392), np.float64(0.07746235259924417), np.float64(0.07613031451492835), np.float64(0.07098148585547981), np.float64(0.07088141179196805)]","[np.int64(1144), np.int64(636), np.int64(1261), np.int64(1207), np.int64(186)]","[np.float64(0.02006896605061356), np.float64(0.01164523670948599), np.float64(0.003663925166523736), np.float64(0.002256011739758125), np.float64(0.015188344391235169)]","[np.str_('(PROPN, ->, X, punct)'), np.str_('(VERB, <-, AUX, csubj)'), np.str_('(NOUN, ->, PROPN, nsubj)'), np.str_('(PROPN, <-, PROPN, case)'), np.str_('(PRON, <-, VERB, appos)')]",Vainery
111,111,"[np.float64(0.03980536525080969), np.float64(0.039249809695254045), np.float64(0.039249809695254045), np.float64(0.038833143028587425), np.float64(0.03552758747303186)]","[np.int64(1010), np.int64(212), np.int64(1354), np.int64(7), np.int64(976)]","[np.float64(0.03671076041098032), np.float64(0.04494049914325053), np.float64(0.0006311894597924823), np.float64(0.12765475968258558), np.float64(0.004367391166726985)]","[np.str_('(ADJ, <-, ADJ, compound)'), np.str_('(PROPN, ->, NOUN, flat)'), np.str_('(PUNCT, ->, PROPN, parataxis)'), np.str_('(VERB, ->, ADP, parataxis)'), np.str_('(X, ->, PRON, flat:foreign)')]",vestnik nsu
