,author_id,feature_importance,features,feature_stats,feature_names,author
51,51,"[np.float64(387.57751419170233), np.float64(286.34524115125123), np.float64(257.7776537131779), np.float64(253.76091184580508), np.float64(231.03368075030392)]","[np.int64(19), np.int64(1299), np.int64(986), np.int64(661), np.int64(1967)]","[np.float64(0.02240144123981747), np.float64(0.003427461828049866), np.float64(0.005584244673103292), np.float64(0.027662466136610667), np.float64(0.018636091684479925)]","[np.str_('(VERB, <-, ADV, parataxis)'), np.str_('(VERB, ->, ADV, conj)'), np.str_('(PRON, <-, ADJ, amod)'), np.str_('(NOUN, <-, PRON, parataxis)'), np.str_('(NOUN, <-, ADV, csubj)')]",Grin
52,52,"[np.float64(97.91329481661371), np.float64(84.04818462788751), np.float64(80.7370094797885), np.float64(72.75873051533148), np.float64(62.19920908633939)]","[np.int64(232), np.int64(552), np.int64(141), np.int64(277), np.int64(94)]","[np.float64(0.048572342825084554), np.float64(0.0430312731315429), np.float64(0.04537946500472194), np.float64(0.035763890480297), np.float64(0.16447569469097073)]","[np.str_('(PART, <-, ADV, csubj)'), np.str_('(PRON, <-, ADV, nmod)'), np.str_('(PUNCT, ->, ADV, root)'), np.str_('(ADV, <-, VERB, discourse)'), np.str_('(ADJ, ->, PROPN, advcl)')]",Gusev
53,53,"[np.float64(128.08692781949594), np.float64(60.63234563945232), np.float64(52.38681845385423), np.float64(32.56195703237896), np.float64(29.282135134984983)]","[np.int64(23), np.int64(1337), np.int64(1754), np.int64(39), np.int64(1382)]","[np.float64(0.04387497732318183), np.float64(0.0006742595545677768), np.float64(0.006501877831740774), np.float64(0.009752816747611163), np.float64(0.003250938915870387)]","[np.str_('(PROPN, ->, ADV, obl)'), np.str_('(CCONJ, <-, ADJ, conj)'), np.str_('(DET, <-, DET, det)'), np.str_('(ADJ, ->, PRON, nsubj)'), np.str_('(VERB, ->, DET, nsubj:pass)')]",Gusiatnikova
54,54,"[np.float64(216.56336940939448), np.float64(214.5693646323786), np.float64(180.628908399219), np.float64(173.30063332647995), np.float64(172.37286955344243)]","[np.int64(174), np.int64(898), np.int64(938), np.int64(527), np.int64(219)]","[np.float64(0.010628562993466465), np.float64(0.02472332856894167), np.float64(0.02486230319246584), np.float64(0.01185630342459241), np.float64(0.006790939099767874)]","[np.str_('(ADJ, ->, ADJ, iobj)'), np.str_('(PART, <-, PRON, discourse)'), np.str_('(PROPN, ->, PROPN, nmod)'), np.str_('(NUM, ->, PROPN, advcl)'), np.str_('(ADJ, <-, ADV, amod)')]",Hoffman
55,55,"[np.float64(234.62043209553946), np.float64(230.0614192270887), np.float64(225.82808535816622), np.float64(188.1823133595704), np.float64(187.48257001230047)]","[np.int64(342), np.int64(709), np.int64(48), np.int64(790), np.int64(239)]","[np.float64(0.022035276359406632), np.float64(0.021808845724820093), np.float64(0.037652889605676074), np.float64(0.01503346521022912), np.float64(0.0026731691246598354)]","[np.str_('(ADV, <-, ADJ, ccomp)'), np.str_('(AUX, <-, VERB, conj)'), np.str_('(CCONJ, <-, VERB, parataxis)'), np.str_('(NOUN, ->, NUM, orphan)'), np.str_('(NOUN, <-, NOUN, mark)')]",Kassil
56,56,"[np.float64(330.14896897086487), np.float64(298.4078923817064), np.float64(290.7386924122465), np.float64(283.08347723699706), np.float64(261.5708814386643)]","[np.int64(1219), np.int64(1820), np.int64(714), np.int64(900), np.int64(1768)]","[np.float64(0.004854780895309534), np.float64(0.006823875710710475), np.float64(0.011977471296334346), np.float64(0.0058525027410031875), np.float64(0.005360077609772391)]","[np.str_('(NOUN, ->, NUM, case)'), np.str_('(PROPN, <-, NOUN, acl)'), np.str_('(INTJ, <-, INTJ, discourse)'), np.str_('(VERB, ->, ADJ, parataxis)'), np.str_('(DET, ->, ADP, fixed)')]",Kataev
57,57,"[np.float64(286.03115628139756), np.float64(219.68893349865903), np.float64(209.03477118726835), np.float64(208.54924323845452), np.float64(193.20060855166676)]","[np.int64(406), np.int64(775), np.int64(531), np.int64(564), np.int64(1938)]","[np.float64(0.04132202029687894), np.float64(0.023925172635412124), np.float64(0.013400266663423996), np.float64(0.046400810693422515), np.float64(0.037616349221325444)]","[np.str_('(PART, <-, NOUN, conj)'), np.str_('(VERB, <-, PART, csubj)'), np.str_('(INTJ, ->, ADJ, parataxis)'), np.str_('(PROPN, ->, DET, nummod)'), np.str_('(ADJ, <-, INTJ, root)')]",Kaverin
58,58,"[np.float64(106.64821669877989), np.float64(87.10080367355421), np.float64(65.84745143644845), np.float64(61.696783756753575), np.float64(61.08020297697687)]","[np.int64(244), np.int64(1646), np.int64(1360), np.int64(1124), np.int64(1585)]","[np.float64(0.032405134285495546), np.float64(0.012962053714198217), np.float64(0.006481026857099109), np.float64(0.006481026857099109), np.float64(0.006481026857099109)]","[np.str_('(PROPN, <-, X, flat:foreign)'), np.str_('(VERB, <-, VERB, csubj:pass)'), np.str_('(ADJ, ->, NOUN, parataxis)'), np.str_('(PROPN, ->, PROPN, fixed)'), np.str_('(NOUN, ->, ADJ, nsubj)')]",Kirsanova Anodina Aksenov
59,59,"[np.float64(98.73786593756235), np.float64(89.47324862079165), np.float64(81.38282611057413), np.float64(81.06063682169312), np.float64(76.79905318341021)]","[np.int64(75), np.int64(1034), np.int64(400), np.int64(225), np.int64(347)]","[np.float64(0.026039287816962065), np.float64(0.0043205336203682694), np.float64(0.001627455488560129), np.float64(0.012138020848979459), np.float64(0.021213893363772336)]","[np.str_('(NUM, ->, VERB, acl:relcl)'), np.str_('(PART, ->, NOUN, conj)'), np.str_('(ADJ, <-, ADV, advcl)'), np.str_('(NOUN, ->, VERB, root)'), np.str_('(PAD, ->, DET, punct)')]",Knabe
60,60,"[np.float64(143.10256767618813), np.float64(137.71046832389857), np.float64(129.96818316953798), np.float64(118.67890553240721), np.float64(101.8344098724555)]","[np.int64(701), np.int64(342), np.int64(557), np.int64(603), np.int64(360)]","[np.float64(0.011205864180114468), np.float64(0.022411728360228936), np.float64(0.011205864180114468), np.float64(0.011205864180114468), np.float64(0.033617592540343404)]","[np.str_('(PROPN, ->, ADP, case)'), np.str_('(ADV, <-, ADJ, ccomp)'), np.str_('(PRON, <-, NUM, obl)'), np.str_('(ADV, <-, VERB, advcl)'), np.str_('(NOUN, <-, PRON, nmod)')]",Koni
