,author_id,z_score,features,feature_stats,author,feature_names
91,91,"[np.float64(4.551048160078711), np.float64(4.511394637221645), np.float64(4.257705339048329), np.float64(4.202303844117677), np.float64(4.084549131947184)]","[1808, 1063, 205, 28, 619]","[np.float64(0.0011776423468166238), np.float64(0.0034550865864579686), np.float64(0.01944358213770978), np.float64(0.05577734528718635), np.float64(0.007526024142719978)]",SaltykovSchedrin,"['(NOUN, <-, PUNCT, amod)' '(PART, ->, PRON, acl:relcl)'
 '(INTJ, ->, AUX, conj)' '(X, <-, NUM, root)' '(NOUN, ->, PRON, det)']"
92,92,"[np.float64(24.474510721194733), np.float64(24.474510721194733), np.float64(24.474510721194733), np.float64(24.474510721194733), np.float64(24.474510721194733)]","[658, 700, 736, 753, 858]","[np.float64(0.003837041820960443), np.float64(0.003837041820960443), np.float64(0.003837041820960443), np.float64(0.003837041820960443), np.float64(0.003837041820960443)]",Semihatov,"['(ADV, ->, PART, advcl)' '(VERB, ->, PART, acl)'
 '(DET, ->, PUNCT, nummod)' '(NUM, ->, INTJ, conj)'
 '(SCONJ, <-, DET, nsubj)']"
93,93,"[np.float64(5.011838786196004), np.float64(4.078119250454241), np.float64(4.010257488281748), np.float64(4.005400757535416), np.float64(3.7217316449499602)]","[1409, 1669, 1293, 584, 28]","[np.float64(0.0013204625624251003), np.float64(0.0008671284639545614), np.float64(0.0015584392767765956), np.float64(0.005171309997879326), np.float64(0.04045442749073039)]",Serafimovich,"['(INTJ, ->, ADP, orphan)' '(VERB, <-, NOUN, flat:foreign)'
 '(NUM, <-, PART, orphan)' '(AUX, <-, VERB, acl)' '(X, <-, NUM, root)']"
94,94,"[np.float64(6.118627680298683), np.float64(6.118627680298683), np.float64(5.642521702603446), np.float64(4.8086151509946555), np.float64(4.731733618249727)]","[1926, 1996, 1922, 1989, 1478]","[np.float64(0.0008769638557205228), np.float64(0.0008769638557205228), np.float64(0.0008769638557205228), np.float64(0.0008769638557205228), np.float64(0.001507260660616642)]",Sergeev-Tsenskij,"['(INTJ, <-, ADJ, parataxis)' '(ADJ, ->, PROPN, nsubj:pass)'
 '(NUM, <-, ADV, discourse)' '(DET, ->, SCONJ, obl)'
 '(VERB, ->, X, nummod:gov)']"
95,95,"[np.float64(14.883493763002477), np.float64(12.23725536059737), np.float64(12.23725536059737), np.float64(12.237255360597368), np.float64(11.839231668910811)]","[858, 1360, 1659, 1219, 1260]","[np.float64(0.004858303406659604), np.float64(0.0016454928728207373), np.float64(0.0016454928728207373), np.float64(0.0032128105338388667), np.float64(0.0032128105338388667)]",Shevtsov,"['(SCONJ, <-, DET, nsubj)' '(INTJ, <-, PART, punct)'
 '(VERB, <-, PAD, compound)' '(X, <-, ADJ, conj)' '(DET, ->, NOUN, det)']"
96,96,"[np.float64(12.85363310048173), np.float64(12.23725536059737), np.float64(12.23725536059737), np.float64(12.23725536059737), np.float64(12.237255360597368)]","[1234, 1580, 1621, 1677, 1806]","[np.float64(0.0016818158009398385), np.float64(0.0009363009636870124), np.float64(0.0009363009636870124), np.float64(0.0009363009636870124), np.float64(0.0007455148372528261)]",Shukshin,"['(INTJ, <-, NUM, nummod:gov)' '(ADP, ->, DET, iobj)'
 '(NOUN, ->, NOUN, nsubj)' '(INTJ, ->, PROPN, advcl)'
 '(PART, ->, NOUN, advmod)']"
97,97,"[np.float64(24.103449130585314), np.float64(20.762526153874123), np.float64(19.720872104992683), np.float64(17.54941421333218), np.float64(15.286937453512977)]","[371, 98, 433, 415, 363]","[np.float64(0.013295745028350915), np.float64(0.02659149005670183), np.float64(0.013295745028350915), np.float64(0.013295745028350915), np.float64(0.013295745028350915)]",ShushpanovLouk,"['(X, ->, PRON, cop)' '(NOUN, ->, ADJ, flat:foreign)'
 '(X, ->, NUM, discourse)' '(ADJ, <-, PUNCT, conj)' '(AUX, ->, ADP, conj)']"
98,98,"[np.float64(12.237255360597368), np.float64(11.908580787567029), np.float64(11.689200681028657), np.float64(11.663895064607823), np.float64(10.685947277230115)]","[228, 286, 157, 261, 292]","[np.float64(0.011588836186115625), np.float64(0.011588836186115625), np.float64(0.01838558360334324), np.float64(0.011588836186115625), np.float64(0.011588836186115625)]",Shushpanov,"['(ADP, ->, X, det)' '(PRON, <-, PUNCT, advmod)' '(NOUN, <-, PAD, mark)'
 '(NOUN, <-, CCONJ, appos)' '(NUM, ->, ADV, case)']"
99,99,"[np.float64(3.645060171752246), np.float64(3.5669770399216656), np.float64(3.488172126694055), np.float64(2.9882912394932446), np.float64(2.9326599439823777)]","[1828, 7, 1219, 1319, 1763]","[np.float64(0.0007218753852435586), np.float64(0.07817643220487108), np.float64(0.0018702703253705886), np.float64(0.0016077845762021716), np.float64(0.0007727825762471466)]",Simonov,"['(PUNCT, ->, PART, fixed)' '(VERB, <-, PAD, case)' '(X, <-, ADJ, conj)'
 '(AUX, ->, PUNCT, conj)' '(X, <-, SCONJ, appos)']"
100,100,"[np.float64(24.474510721194743), np.float64(23.94890197386352), np.float64(23.94890197386352), np.float64(22.99244149410488), np.float64(21.770538284311225)]","[489, 514, 590, 419, 47]","[np.float64(0.004307870678323893), np.float64(0.004307870678323893), np.float64(0.004307870678323893), np.float64(0.004307870678323893), np.float64(0.02584722406994336)]",Soloviev,"['(ADV, <-, CCONJ, fixed)' '(VERB, ->, PUNCT, obl)'
 '(NOUN, <-, AUX, root)' '(NUM, ->, PUNCT, flat:foreign)'
 '(NOUN, ->, ADP, acl)']"
101,101,"[np.float64(24.47451072119473), np.float64(24.47451072119473), np.float64(24.47451072119473), np.float64(24.47451072119473), np.float64(24.47451072119473)]","[817, 907, 1099, 1122, 1129]","[np.float64(0.0028942667882387806), np.float64(0.0028942667882387806), np.float64(0.0028942667882387806), np.float64(0.0028942667882387806), np.float64(0.0028942667882387806)]",Solovyov,"['(ADJ, ->, NOUN, mark)' '(VERB, ->, NOUN, nummod:entity)'
 '(DET, <-, DET, conj)' '(SYM, ->, SYM, appos)'
 '(ADV, ->, INTJ, parataxis)']"
102,102,"[np.float64(6.118627680298684), np.float64(6.118627680298684), np.float64(6.118627680298684), np.float64(6.118627680298684), np.float64(6.118627680298684)]","[871, 1481, 1609, 1666, 1689]","[np.float64(0.0009818505427296096), np.float64(0.0009818505427296096), np.float64(0.0009818505427296096), np.float64(0.0009818505427296096), np.float64(0.0033952845329748974)]",Stepnova,"['(NOUN, <-, ADJ, nsubj)' '(INTJ, <-, INTJ, root)' '(NUM, <-, ADV, cc)'
 '(VERB, <-, SCONJ, det)' '(NUM, <-, NUM, amod)']"
103,103,"[np.float64(2.5103972164037844), np.float64(2.5100981644915685), np.float64(2.4474510721194735), np.float64(2.4474510721194735), np.float64(2.3563505087531325)]","[1083, 33, 1874, 1961, 1466]","[np.float64(0.0020788486984676443), np.float64(0.03156630232567652), np.float64(0.0006253996091567367), np.float64(0.0005507935509021493), np.float64(0.0010886188906054793)]",Strugatskie,"['(PUNCT, ->, ADP, parataxis)' '(PART, <-, NUM, iobj)' '(ADP, <-, X, cc)'
 '(ADV, <-, ADP, discourse)' '(ADV, <-, SCONJ, fixed)']"
104,104,"[np.float64(3.4963586744563906), np.float64(3.49635867445639), np.float64(3.49635867445639), np.float64(3.49635867445639), np.float64(3.4963586744563897)]","[1930, 1632, 1783, 1988, 1703]","[np.float64(0.0005102732804935819), np.float64(0.0006753850155753052), np.float64(0.0006300280911631139), np.float64(0.0005091961120964304), np.float64(0.0006542468648464217)]",Tamonikov,"['(ADV, ->, NUM, parataxis)' '(PUNCT, ->, ADV, orphan)'
 '(PUNCT, ->, INTJ, obl)' '(ADJ, ->, ADV, parataxis)'
 '(NUM, <-, SCONJ, fixed)']"
105,105,"[np.float64(24.474510721194736), np.float64(24.474510721194736), np.float64(24.474510721194736), np.float64(24.474510721194736), np.float64(24.474510721194736)]","[807, 1137, 1143, 1199, 1289]","[np.float64(0.001774525640189158), np.float64(0.001774525640189158), np.float64(0.001774525640189158), np.float64(0.001774525640189158), np.float64(0.001774525640189158)]",TEDRus,"['(NOUN, ->, ADJ, flat)' '(PROPN, <-, PROPN, det)' '(PART, <-, INTJ, cop)'
 '(X, <-, NOUN, amod)' '(ADJ, ->, PROPN, det)']"
106,106,"[np.float64(4.894902144238947), np.float64(4.894902144238947), np.float64(4.894902144238947), np.float64(4.894902144238947), np.float64(4.894902144238947)]","[1346, 1347, 1791, 1801, 1820]","[np.float64(0.0007070922263602171), np.float64(0.0006238670243183551), np.float64(0.0007070922263602171), np.float64(0.0016130811787038782), np.float64(0.0016130811787038782)]",Teffi,"['(X, <-, NOUN, nsubj)' '(ADJ, ->, PRON, obl)' '(NOUN, <-, DET, cop)'
 '(PART, <-, SCONJ, advmod)' '(NUM, <-, PROPN, nummod:gov)']"
107,107,"[np.float64(3.3234221210605845), np.float64(3.062428216039525), np.float64(2.8720759922312267), np.float64(2.8383683781484006), np.float64(2.8284877531000787)]","[12, 802, 148, 278, 117]","[np.float64(0.0769749586692073), np.float64(0.004859473214793473), np.float64(0.02472916592768576), np.float64(0.014821258312386842), np.float64(0.028794605088084537)]",Tolstoy,"['(PROPN, <-, PRON, obj)' '(SCONJ, <-, PRON, root)'
 '(PUNCT, ->, ADP, advmod)' '(ADP, ->, NOUN, nummod)'
 '(NUM, ->, SYM, fixed)']"
108,108,"[np.float64(5.923234044352459), np.float64(5.649376166696778), np.float64(4.894902144238949), np.float64(4.894902144238949), np.float64(4.894902144238949)]","[1041, 864, 1865, 1868, 1876]","[np.float64(0.0029424122154256926), np.float64(0.0039812058704810655), np.float64(0.0010671302330199429), np.float64(0.0010671302330199429), np.float64(0.0010671302330199429)]",Turgenev,"['(NUM, ->, SYM, flat)' '(NUM, <-, VERB, parataxis)'
 '(VERB, ->, PUNCT, nsubj:pass)' '(ADJ, <-, PROPN, xcomp)'
 '(PROPN, <-, ADV, amod)']"
