,author_id,z_score,features,feature_stats,author,feature_names
10,10,"[np.float64(8.531225936985418), np.float64(7.807188090363029), np.float64(7.013686082044614), np.float64(6.118627680298684), np.float64(6.118627680298684)]","[531, 10, 166, 876, 893]","[np.float64(0.004964913543442053), np.float64(0.060089862019191885), np.float64(0.014644166597535316), np.float64(0.0003858930926396109), np.float64(0.0024898731884883643)]",Bakhtin,"['(ADJ, ->, PAD, flat:foreign)' '(X, <-, PRON, nsubj:pass)'
 '(PRON, <-, PUNCT, parataxis)' '(PRON, <-, INTJ, discourse)'
 '(X, <-, INTJ, mark)']"
11,11,"[np.float64(16.49199407155411), np.float64(15.319640161328527), np.float64(15.292854892765162), np.float64(13.875803429812727), np.float64(13.779226578370764)]","[1028, 1060, 612, 969, 895]","[np.float64(0.0025245451129217254), np.float64(0.0025245451129217254), np.float64(0.005049090225843451), np.float64(0.0025245451129217254), np.float64(0.0025245451129217254)]",Barinova,"['(NUM, ->, NUM, flat:foreign)' '(DET, ->, ADV, advmod)'
 '(PROPN, <-, NUM, root)' '(SCONJ, ->, VERB, acl)'
 '(NOUN, ->, ADP, nsubj)']"
12,12,"[np.float64(24.474510721194736), np.float64(24.474510721194736), np.float64(24.474510721194736), np.float64(24.474510721194736), np.float64(24.47451072119473)]","[327, 369, 424, 500, 155]","[np.float64(0.0015735248686227085), np.float64(0.0015735248686227085), np.float64(0.0015735248686227085), np.float64(0.0015735248686227085), np.float64(0.004720574605868126)]",bashinform 202,"['(NOUN, ->, X, discourse)' '(PRON, ->, PUNCT, nummod)'
 '(ADJ, <-, X, nsubj)' '(PART, <-, ADV, orphan)' '(NUM, ->, ADJ, advmod)']"
13,13,"[np.float64(2.461432623196619), np.float64(2.4474510721194735), np.float64(2.4474510721194735), np.float64(2.447451072119473), np.float64(2.447451072119473)]","[914, 1732, 1802, 1248, 1337]","[np.float64(0.0016988482182576337), np.float64(0.00030033640970376837), np.float64(0.00030033640970376837), np.float64(0.0008493561693880108), np.float64(0.000775237537768866)]",Belyaev,"['(AUX, <-, INTJ, cc)' '(NUM, ->, NUM, fixed)' '(PUNCT, <-, PUNCT, nmod)'
 '(SCONJ, ->, ADJ, nsubj)' '(CCONJ, ->, NOUN, nsubj)']"
14,14,"[np.float64(4.849172439020954), np.float64(4.5270271190506834), np.float64(4.513117592468793), np.float64(4.300905584409729), np.float64(4.270749970186881)]","[385, 14, 263, 281, 635]","[np.float64(0.010782095345771172), np.float64(0.07220473170022043), np.float64(0.01501804993978505), np.float64(0.014187542602949924), np.float64(0.00690254097473331)]",Belyanin,"['(CCONJ, ->, NOUN, advmod)' '(PRON, ->, NOUN, flat:foreign)'
 '(DET, ->, NOUN, punct)' '(ADV, <-, PART, orphan)'
 '(PRON, ->, NOUN, amod)']"
15,15,"[np.float64(24.47451072119474), np.float64(24.47451072119474), np.float64(24.47451072119474), np.float64(24.47451072119474), np.float64(24.47451072119474)]","[64, 223, 224, 240, 267]","[np.float64(0.003479185974484642), np.float64(0.003479185974484642), np.float64(0.003479185974484642), np.float64(0.003479185974484642), np.float64(0.003479185974484642)]",Bobkova,"['(ADP, ->, PART, appos)' '(ADV, <-, CCONJ, root)'
 '(ADV, ->, SCONJ, advmod)' '(ADV, <-, ADP, nsubj)' '(NUM, <-, X, cc)']"
16,16,"[np.float64(6.118627680298684), np.float64(6.118627680298684), np.float64(6.118627680298682), np.float64(5.874274104220539), np.float64(5.608932376344343)]","[1018, 1056, 520, 506, 342]","[np.float64(0.001163962538251104), np.float64(0.001163962538251104), np.float64(0.005218898191381504), np.float64(0.005218898191381504), np.float64(0.008339814352976642)]",BonchOsmolovskaya,"['(NOUN, ->, AUX, xcomp)' '(X, ->, PRON, nsubj)' '(ADV, ->, NOUN, orphan)'
 '(PAD, <-, DET, obl)' '(NUM, <-, PRON, iobj)']"
17,17,"[np.float64(4.6772403060127665), np.float64(3.9403969422958713), np.float64(3.641126700914878), np.float64(3.496358674456391), np.float64(3.496358674456391)]","[432, 607, 635, 1118, 1700]","[np.float64(0.009141732934433126), np.float64(0.0064789670599007), np.float64(0.0061317121461977415), np.float64(0.0007007772665517096), np.float64(0.0024140126942950356)]",Brustein,"['(PUNCT, ->, NOUN, root)' '(NUM, <-, VERB, discourse)'
 '(PRON, ->, NOUN, amod)' '(PROPN, <-, ADP, acl:relcl)'
 '(X, ->, NOUN, advcl)']"
18,18,"[np.float64(4.132342458712104), np.float64(3.636809488340733), np.float64(3.4731137118970308), np.float64(3.281913540643047), np.float64(3.059313840149342)]","[285, 773, 825, 1138, 932]","[np.float64(0.01287328210970901), np.float64(0.004678268606805582), np.float64(0.004364390973540206), np.float64(0.0025140888642512654), np.float64(0.00368089649570359)]",Bulgakov,"['(NUM, ->, NOUN, nsubj:pass)' '(DET, <-, PRON, cop)'
 '(VERB, <-, NUM, root)' '(VERB, ->, SCONJ, conj)'
 '(ADJ, <-, PROPN, nummod:gov)']"
19,19,"[np.float64(3.043029307451683), np.float64(2.2249555201086126), np.float64(2.2249555201086126), np.float64(2.2249555201086126), np.float64(2.2249555201086126)]","[1257, 1758, 1792, 1793, 1797]","[np.float64(0.0008740123043367737), np.float64(0.0003410200405930816), np.float64(0.0003410200405930816), np.float64(0.0003410200405930816), np.float64(0.0003410200405930816)]",Bulychev,"['(SCONJ, <-, ADV, conj)' '(ADV, <-, NUM, nummod:gov)'
 '(ADV, <-, NUM, amod)' '(X, <-, AUX, conj)' '(SYM, ->, VERB, conj)']"
