,author_id,info_gain,features,feature_stats,tfidf,author,feature_names
33,33,"[np.float64(0.021327121377248237), np.float64(0.019379430781811258), np.float64(0.01798822321364224), np.float64(0.008798284975289894), np.float64(0.008195861522282022)]","[824, 802, 1428, 1156, 1357]","[0, 0, 1, 75, 1]","[np.float64(0.013140257150453366), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",Drobyshevsky Rupasova,"['(VERB, <-, ADV, parataxis)' '(ADJ, ->, VERB, advcl)'
 '(PART, ->, PROPN, parataxis)' '(ADV, <-, ADV, parataxis)'
 '(VERB, <-, NOUN, obl)']"
34,34,"[np.float64(0.06878217566200773), np.float64(0.06055760676468169), np.float64(0.05688993814684662), np.float64(0.050335151110332266), np.float64(0.049205895537555056)]","[242, 663, 1011, 225, 1026]","[26, 0, 0, 2, 0]","[np.float64(0.014378162842519518), np.float64(0.0035067544860710826), np.float64(0.006286520836236773), np.float64(0.0009515690320157182), np.float64(0.0016732749159252885)]",Drobyshevsky,"['(PROPN, ->, DET, det)' '(ADJ, ->, PART, obl)'
 '(DET, <-, VERB, parataxis)' '(AUX, <-, ADJ, root)'
 '(PROPN, ->, NUM, flat:foreign)']"
35,35,"[np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.020353276079529747), np.float64(0.020353276079529747), np.float64(0.020353276079529747)]","[306, 1096, 28, 582, 664]","[0, 0, 1, 0, 0]","[np.float64(0.0), np.float64(0.0), np.float64(0.0002415251984034869), np.float64(0.0), np.float64(0.004664986412998275)]",Dubchak,"['(PRON, ->, ADV, advmod)' '(VERB, ->, NOUN, nsubj)'
 '(VERB, ->, PROPN, ccomp)' '(NUM, <-, CCONJ, advmod)'
 '(PROPN, ->, PROPN, nsubj)']"
36,36,"[np.float64(0.01604053261820526), np.float64(0.013675479752317865), np.float64(0.011199130280976743), np.float64(0.009673481009083607), np.float64(0.008374562074788039)]","[388, 686, 1315, 97, 942]","[0, 0, 30, 0, 0]","[np.float64(-9.616969345053462e-12), np.float64(-5.289333139779405e-12), np.float64(0.019796390382927943), np.float64(0.0), np.float64(0.0)]",EdimDoma,"['(PRON, <-, DET, det)' '(NOUN, <-, PRON, mark)' '(VERB, ->, NOUN, conj)'
 '(VERB, ->, NUM, nummod)' '(VERB, ->, NOUN, obl)']"
37,37,"[np.float64(0.059329794331804186), np.float64(0.05844857436435369), np.float64(0.05735781997198308), np.float64(0.04820524676113225), np.float64(0.046669874158976166)]","[186, 1428, 476, 202, 8]","[0, 0, 0, 0, 2]","[np.float64(0.0), np.float64(0.0005529264692563356), np.float64(0.0), np.float64(0.01062844989425731), np.float64(0.010104489007605787)]",Efremov,"['(VERB, <-, PRON, nmod)' '(PART, ->, PROPN, parataxis)'
 '(NOUN, ->, ADV, appos)' '(VERB, ->, ADV, xcomp)'
 '(NOUN, ->, DET, nsubj)']"
38,38,"[np.float64(0.04054084811160341), np.float64(0.039647236849952416), np.float64(0.035474996115996915), np.float64(0.03474032990712095), np.float64(0.03419461197871165)]","[1282, 1373, 604, 646, 57]","[0, 85, 1, 0, 0]","[np.float64(0.002124679324239409), np.float64(0.0), np.float64(0.0), np.float64(0.00673207998244165), np.float64(0.006091574949398248)]",Epstein,"['(ADV, ->, ADJ, advcl)' '(VERB, ->, VERB, cop)'
 '(ADV, <-, PRON, discourse)' '(ADJ, ->, PRON, iobj)'
 '(PROPN, ->, PUNCT, nmod)']"
39,39,"[np.float64(0.0433026201105986), np.float64(0.0351716657730623), np.float64(0.02798728225671876), np.float64(0.026390917995613217), np.float64(0.019413472242218677)]","[378, 1393, 725, 111, 651]","[0, 0, 0, 0, 0]","[np.float64(0.002238813254098046), np.float64(0.0), np.float64(0.008242991280827288), np.float64(0.011684582281157459), np.float64(0.0)]",Exler,"['(VERB, <-, AUX, advcl)' '(ADP, ->, NUM, nsubj)'
 '(ADJ, ->, PART, parataxis)' '(ADJ, ->, NOUN, nmod)'
 '(VERB, <-, ADP, case)']"
40,40,"[np.float64(0.04025653497887871), np.float64(0.03677423862630702), np.float64(0.03380791648077097), np.float64(0.03298213671375394), np.float64(0.0294754001523434)]","[1007, 824, 725, 650, 1261]","[0, 0, 71, 124, 0]","[np.float64(0.004194219479780675), np.float64(0.006088921880278745), np.float64(0.0011402857918630747), np.float64(0.0024213593340485623), np.float64(0.00513395861013318)]",Fadeev,"['(VERB, ->, NOUN, orphan)' '(VERB, <-, ADV, parataxis)'
 '(ADJ, ->, PART, parataxis)' '(NOUN, <-, PROPN, root)'
 '(ADJ, <-, PRON, mark)']"
41,41,"[np.float64(0.05476141136602375), np.float64(0.04443444377765193), np.float64(0.04239997453302535), np.float64(0.04139143624736841), np.float64(0.04104863682894222)]","[47, 902, 758, 156, 493]","[0, 0, 0, 0, 0]","[np.float64(0.06412949518526297), np.float64(0.039413204914616924), np.float64(0.0), np.float64(0.002351656972118304), np.float64(0.002709459790932166)]",Furmanov,"['(PART, <-, VERB, nsubj)' '(ADP, <-, CCONJ, fixed)'
 '(ADJ, ->, PRON, obl)' '(CCONJ, ->, PROPN, root)' '(NOUN, ->, NOUN, obl)']"
42,42,"[np.float64(0.029562794900684697), np.float64(0.020251195028485935), np.float64(0.018520693874782723), np.float64(0.01615689345830673), np.float64(0.01520072620962487)]","[425, 595, 821, 927, 1049]","[0, 0, 0, 0, 0]","[np.float64(0.0024633103837704467), np.float64(0.0), np.float64(0.0), np.float64(0.011622177820282709), np.float64(0.01250664596288317)]",Gachev,"['(ADV, ->, NOUN, root)' '(AUX, <-, NOUN, advcl)' '(AUX, <-, SCONJ, mark)'
 '(NOUN, <-, ADP, parataxis)' '(NOUN, ->, CCONJ, advmod)']"
43,43,"[np.float64(0.0147535437066727), np.float64(0.009686441063829654), np.float64(0.009392041866768674), np.float64(0.008218049020463192), np.float64(0.007896502799218608)]","[802, 1282, 1144, 56, 307]","[0, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.022537550244230674), np.float64(0.0), np.float64(0.00912069333246716), np.float64(0.000697458169796583)]",Gasymov,"['(ADJ, ->, VERB, advcl)' '(ADV, ->, ADJ, advcl)'
 '(PROPN, <-, NOUN, nmod)' '(NUM, <-, PART, advmod)'
 '(NOUN, ->, ADJ, nsubj)']"
44,44,"[np.float64(0.03229966462478895), np.float64(0.03023935801625166), np.float64(0.026652727801289133), np.float64(0.026520514201904377), np.float64(0.02602354578829047)]","[39, 1203, 579, 1140, 234]","[0, 0, 0, 0, 0]","[np.float64(0.004569358020588539), np.float64(0.0007639550525989418), np.float64(0.005042441166520809), np.float64(0.004537905454795371), np.float64(0.041136517208812264)]",Gaydar,"['(PRON, <-, VERB, advmod)' '(ADJ, <-, PRON, det)'
 '(DET, <-, NUM, nummod:gov)' '(NOUN, ->, ADV, conj)'
 '(PROPN, <-, ADV, obl)']"
45,45,"[np.float64(0.021327121377248015), np.float64(0.02035327607952997), np.float64(0.020353276079529747), np.float64(0.020353276079529747), np.float64(0.018405585484092768)]","[667, 736, 166, 651, 1350]","[0, 0, 0, 15, 0]","[np.float64(0.0), np.float64(0.01661255347359357), np.float64(0.0), np.float64(0.0), np.float64(0.0007150611981322234)]",GazetaRu,"['(VERB, ->, ADJ, parataxis)' '(ADJ, <-, VERB, advcl)'
 '(VERB, ->, VERB, parataxis)' '(VERB, <-, ADP, case)'
 '(NUM, <-, ADV, advmod)']"
46,46,"[np.float64(0.030217538758825824), np.float64(0.02848929544328538), np.float64(0.026795251340032467), np.float64(0.025825113580275616), np.float64(0.024947024415237662)]","[306, 881, 335, 1246, 553]","[0, 0, 1, 0, 0]","[np.float64(0.0030386392212702514), np.float64(0.0), np.float64(0.006582924440483563), np.float64(0.002861817079476812), np.float64(0.0010085101436807474)]",Gelb,"['(PRON, ->, ADV, advmod)' '(DET, ->, ADJ, amod)' '(VERB, ->, DET, nmod)'
 '(VERB, ->, PART, cc)' '(ADJ, ->, ADJ, acl:relcl)']"
47,47,"[np.float64(0.023274811972684994), np.float64(0.022300966674966505), np.float64(0.021327121377248237), np.float64(0.020353276079529747), np.float64(0.020353276079529747)]","[1201, 1356, 821, 56, 146]","[0, 0, 27, 0, 58]","[np.float64(0.0010055423214084733), np.float64(0.010376356062843735), np.float64(0.0), np.float64(0.0008031624782596694), np.float64(0.0)]",Gorelov,"['(PRON, <-, PART, cc)' '(PROPN, ->, NUM, nummod)'
 '(AUX, <-, SCONJ, mark)' '(NUM, <-, PART, advmod)'
 '(NOUN, ->, DET, parataxis)']"
48,48,"[np.float64(0.022300966674966505), np.float64(0.021327121377248237), np.float64(0.01840558548409299), np.float64(0.01645789488865601), np.float64(0.01328594163323027)]","[1117, 1357, 852, 851, 824]","[0, 124, 0, 0, 0]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(6.735755162760834e-05), np.float64(-9.043581746017049e-13)]",GorVestnik,"['(ADJ, <-, PART, advmod)' '(VERB, <-, NOUN, obl)' '(NOUN, <-, PART, cc)'
 '(NOUN, <-, NUM, nummod)' '(VERB, <-, ADV, parataxis)']"
