,author_id,info_gain,features,feature_stats,author,feature_names
21,21,"[np.float64(0.08684622388629437), np.float64(0.08447941986063279), np.float64(0.07738182339968169), np.float64(0.0749805569454719), np.float64(0.06959005536785945)]","[10, 95, 1991, 762, 1457]","[np.float64(0.06008783238691767), np.float64(0.02092797808791981), np.float64(0.00045536101724149306), np.float64(0.0031065505497548853), np.float64(0.0008931135554934125)]",Bykov,"['(X, <-, PRON, nsubj:pass)' '(SCONJ, <-, NOUN, appos)'
 '(PROPN, ->, NOUN, nsubj)' '(PUNCT, ->, PRON, orphan)'
 '(ADJ, ->, ADP, case)']"
22,22,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[7, 46, 58, 75, 86]","[np.float64(0.01838683727021946), np.float64(0.01838683727021946), np.float64(0.0022740280182920506), np.float64(0.01838683727021946), np.float64(0.01838683727021946)]",Chechin,"['(VERB, <-, PAD, case)' '(PART, ->, ADJ, obj)' '(NOUN, ->, ADV, nsubj)'
 '(PROPN, <-, DET, fixed)' '(VERB, ->, PART, case)']"
23,23,"[np.float64(0.1356063041830261), np.float64(0.13400834597830524), np.float64(0.11881411038933287), np.float64(0.11654660450340582), np.float64(0.11543345903366808)]","[5, 34, 7, 288, 11]","[np.float64(0.09748627786298371), np.float64(0.059745836568540774), np.float64(0.08911558435563419), np.float64(0.014985113306261198), np.float64(0.07655702030560722)]",Chekhov,"['(PAD, <-, NUM, amod)' '(NOUN, <-, CCONJ, punct)' '(VERB, <-, PAD, case)'
 '(NOUN, <-, PART, iobj)' '(AUX, ->, NOUN, ccomp)']"
24,24,"[np.float64(0.08175627749685044), np.float64(0.07973470175838715), np.float64(0.07326604322204233), np.float64(0.06657423140065566), np.float64(0.06486356755778278)]","[51, 321, 1169, 11, 40]","[np.float64(0.02383955768266522), np.float64(0.006799296963758605), np.float64(0.001031350255872007), np.float64(0.041660478636174385), np.float64(0.03012862143073695)]",Cherkasova,"['(NUM, <-, PART, case)' '(PAD, <-, PAD, compound)' '(SCONJ, ->, X, case)'
 '(AUX, ->, NOUN, ccomp)' '(ADJ, ->, ADJ, ccomp)']"
25,25,"[np.float64(0.0567800578097285), np.float64(0.0567800578097285), np.float64(0.056225426639456844), np.float64(0.05567079546918485), np.float64(0.055116164298913195)]","[52, 217, 40, 426, 31]","[np.float64(0.09568760374290644), np.float64(0.04512516895075528), np.float64(0.09959538227421018), np.float64(0.02323779778161437), np.float64(0.05655927225097196)]",Convlab,"['(SYM, ->, PROPN, conj)' '(PRON, ->, PROPN, cop)' '(ADJ, ->, ADJ, ccomp)'
 '(DET, ->, ADV, cop)' '(NUM, ->, ADV, root)']"
26,26,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[26, 66, 111, 132, 197]","[np.float64(0.0018952101695798261), np.float64(0.0037904203391596523), np.float64(0.0018952101695798261), np.float64(0.0018952101695798261), np.float64(0.004393732895991252)]",Derevyanko,"['(PAD, ->, PAD, orphan)' '(NUM, <-, PUNCT, nummod:gov)'
 '(PROPN, ->, NUM, obl)' '(X, <-, SCONJ, advmod)' '(X, ->, ADJ, acl)']"
27,27,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[2, 4, 7, 18, 20]","[np.float64(0.09050218967896184), np.float64(0.04504936033275735), np.float64(0.04504936033275735), np.float64(0.054301313807377107), np.float64(0.0014406764616059881)]",DoctorPiter,"['(PRON, <-, AUX, orphan)' '(SCONJ, ->, INTJ, advmod)'
 '(VERB, <-, PAD, case)' '(ADP, <-, PRON, cc)' '(PRON, ->, NOUN, csubj)']"
28,28,"[np.float64(0.07575313046189902), np.float64(0.06824328365006704), np.float64(0.06313015726777738), np.float64(0.06299417642971517), np.float64(0.06297563619621516)]","[722, 753, 141, 47, 188]","[np.float64(0.005026781441900358), np.float64(0.0047949461413029715), np.float64(0.022120541516485036), np.float64(0.038272039239103404), np.float64(0.017848895341055455)]",Dombrowski,"['(X, ->, X, acl:relcl)' '(NUM, ->, INTJ, conj)' '(SCONJ, ->, PART, aux)'
 '(NOUN, ->, ADP, acl)' '(ADP, ->, SYM, punct)']"
29,29,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[38, 105, 338, 344, 684]","[np.float64(0.0005822134941927635), np.float64(0.0018055439954597111), np.float64(0.039721967900113654), np.float64(0.004226176019213105), np.float64(0.004988880750731723)]",Doronina,"['(PROPN, <-, ADV, nummod:gov)' '(DET, ->, NUM, obl)'
 '(AUX, ->, VERB, nummod:gov)' '(NOUN, <-, VERB, acl)'
 '(ADJ, ->, NUM, vocative)']"
30,30,"[np.float64(0.13045682512395784), np.float64(0.12570318642424072), np.float64(0.12290193084376988), np.float64(0.12279084211423641), np.float64(0.11746496178566534)]","[770, 70, 797, 561, 127]","[np.float64(0.005640315421868356), np.float64(0.03630693671279915), np.float64(0.005361072592739352), np.float64(0.00841336618576153), np.float64(0.027120275119795992)]",Dostoevsky,"['(DET, ->, PART, obl)' '(PRON, ->, X, acl:relcl)' '(X, <-, NUM, nsubj)'
 '(CCONJ, ->, VERB, cop)' '(PART, <-, NOUN, obj)']"
